Ind,Code,First_name,Last_name,Position,Shoots,Draft_year,Draft_round,Height,Weight,DOB,Age,Country,Place,Year,Team,Games,Goals,Assists,Points,PM,Pen,G_ev,G_pp,G_sh,Gwg,A_ev,A_pp,A_sh,S,SA,TOI,TOI_avg,FOW,FOL,HIT,BLK,TKY,GWY,PDO,OZS,DZS,OPS,DPS,Salary,Cap_hit,P/60,P1/60,GS/60,CF,CA,CF%,Rel CF%,GF,GA,xGF,xGA,xGF%,Rel xGF%,iPENT,iPEND,iSh%,ixGF,ixGF/60,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC,GP,G,A,P,P1,GS,C+/-,G+/-,GF%,xG+/-,iP+/-,iCF,iCF/60
8851,voynovi01,Slava,Voynov,D,R,2008,2.032,183,194,1990-01-15,28.68888396,RU,Other,2015,LAK,6,0,2,2,0,2,0,0,0,0,0,1,1,5,19,,23.11,0,0,11,8,1,8,102.3,37.3,62.7,0.0,0.3,4166666.0,4166666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8852,watkima01,Matt,Watkins,RW,L,2005,5.16,178,181,1986-11-22,31.83747765,CA,Other,2012,PHX,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,6.62,6.37,0,5,1,0,0,0,80.0,20.0,80.0,0.0,0.0,,,,,-4.53,2,8,20.0,-18.6,,1,0.06,0.31,16.22,-27.53,,,,,,20,15.35,26.56,49.83,27.81,54.75,1.0,,,,,-0.5,-6,-1,,-0.25,,,
8853,welshje01,Jeremy,Welsh,C,L,2001,5.1339999999999995,190,210,1988-04-30,30.40007685,CA,Other,2012,CAR,1,0,0,0,0,4,0,0,0,0,0,0,0,2,3,15.5,16.32,4,9,3,0,0,0,100.0,57.1,42.9,0.0,0.0,925000.0,925000.0,,,1.16,19,12,61.29,1.61,,,0.45,0.4,52.94,-9.18,1,,,0.18,0.7,57.14,28.27,31.44,48.61,31.11,49.26,1.0,,,,,0.3,7,,,0.05,-1,3,11.61
8854,welshje01,Jeremy,Welsh,C,L,2001,5.1339999999999995,190,210,1988-04-30,30.40007685,CA,Other,2013,CAR,5,0,1,1,1,0,0,0,0,0,1,0,0,4,6,29.22,5.51,15,5,6,0,1,0,112.5,66.7,33.3,0.0,0.1,850000.0,850000.0,2.05,2.05,2.77,20,18,52.63,-1.83,1,,0.48,0.64,42.86,-4.04,,,,0.18,0.37,66.67,12.79,25.4,50.06,27.19,48.63,5.0,,1,1,1,1.35,2,1,100,-0.16,,6,12.32
8855,welshje01,Jeremy,Welsh,C,L,2001,5.1339999999999995,190,210,1988-04-30,30.40007685,CA,Other,2014,VAN,19,1,0,1,-1,6,1,0,0,0,0,0,0,13,20,128.02,6.51,46,44,16,8,3,5,97.7,49.3,50.7,-0.1,0.1,850000.0,850000.0,0.47,0.47,0.73,102,117,46.58,-6.73,4,5,4.09,4.58,47.17,-9.11,1,3,7.69,1.05,0.49,49.28,13.77,26.56,49.03,27.71,50.53,19.0,1,,1,1,1.55,-15,-1,44.44,-0.49,2,20,9.37
8856,welshje01,Jeremy,Welsh,C,L,2001,5.1339999999999995,190,210,1988-04-30,30.40007685,CA,Other,2016,STL,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,16.05,8.19,1,2,4,0,1,0,100.0,33.3,66.7,0.0,0.0,575000.0,575000.0,,,1.27,17,7,70.83,17.74,,,0.44,0.2,68.75,16.51,1,,,,,33.33,18.16,25.9,50.3,29.0,48.7,2.0,,,,,0.34,10,,,0.24,-1,1,3.74
8857,whitmde01,Derek,Whitmore,LW,L,1996,4.1,180,185,1984-12-17,33.76770263,US,Other,2012,BUF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,22.38,12.31,0,0,3,1,1,0,100.0,62.5,37.5,-0.1,0.0,,,,,2.82,26,12,68.42,24.24,,,0.65,0.32,67.01,40.13,,1,,0.15,0.4,62.5,25.26,27.66,49.28,28.71,50.91,2.0,,,,,1.05,14,,,0.33,1,5,13.4
8858,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2012,OTT,9,0,1,1,-3,2,0,0,0,0,0,1,0,12,25,103.8,12.54,22,28,15,5,4,1,95.4,54.5,45.5,-0.2,0.0,925000.0,925000.0,,,-0.19,84,107,43.98,-9.27,1,4,2.94,3.82,43.49,-10.29,1,,,0.73,0.42,54.55,24.21,30.56,52.72,28.84,49.38,9.0,,,,,-0.33,-23,-3,20,-0.88,-1,21,12.14
8859,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2013,OTT,42,7,13,20,9,6,4,3,0,0,12,1,0,90,153,475.48,13.34,159,184,82,19,12,7,102.4,66.9,33.1,1.4,1.1,894167.0,894167.0,1.89,1.01,2.62,486,416,53.88,0.71,21,14,19.38,14.56,57.1,5.43,3,9,4.48,5.67,0.72,66.53,23.41,29.17,52.82,28.85,49.47,42.0,3,12,15,8,20.75,70,7,60,4.82,6,117,14.76
8860,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2014,OTT,69,16,17,33,-15,18,13,3,0,0,12,5,0,153,269,815.8,14.2,183,214,118,28,31,18,97.4,58.1,41.9,2.8,0.2,894167.0,894167.0,1.62,1.4,2.32,850,750,53.12,1.47,30,44,33.02,34.26,49.08,1.83,5,13,8.87,10.72,0.79,57.03,24.25,29.86,51.39,28.87,49.69,69.0,11,11,22,19,31.49,100,-14,40.54,-1.24,8,217,15.96
8861,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2015,OTT,80,20,26,46,0,20,16,4,0,0,16,10,0,150,293,1055.08,16.26,615,638,149,26,34,27,101.1,55.4,44.6,3.9,1.2,894167.0,894167.0,1.65,1.42,1.74,999,995,50.1,-0.49,43,43,41.52,41.94,49.75,-2,9,16,13.89,11.52,0.66,55.23,26.71,30.46,49.87,29.36,49.78,80.0,15,14,29,25,30.55,4,,50,-0.42,7,206,11.71
8862,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2016,OTT,81,21,30,51,-2,18,17,2,2,7,21,9,0,184,331,1061.47,17.46,659,647,111,43,39,52,100.7,60.4,39.6,4.4,1.1,2625000.0,2625000.0,1.81,1.41,1.82,1007,1084,48.16,0.37,49,41,45.55,44.91,50.35,3.59,8,12,11.81,13.92,0.79,59.52,26.64,30.6,47.11,29.27,50.0,80.0,15,17,32,25,32.16,-77,8,54.44,0.64,4,218,12.32
8863,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2017,NYR,56,14,23,37,9,16,10,4,0,2,16,7,0,119,226,754.17,17.04,494,456,23,27,36,31,103.3,53.8,46.2,3.0,1.2,2625000.0,2625000.0,1.99,1.11,2.01,685,702,49.39,1.62,39,30,33.06,29.9,52.51,2.98,7,12,11.63,8.77,0.7,52.88,26.69,30.03,48.67,29.27,50.43,56.0,10,15,25,14,25.31,-17,9,56.52,3.16,5,154,12.25
8864,zibanmi01,Mika,Zibanejad,C,R,2011,1.006,188,227,1993-04-18,25.43351497,SE,Other,2018,NYR,72,27,20,47,-23,14,13,14,0,4,12,7,1,212,367,960.23,17.58,654,633,92,64,49,63,95.1,53.0,47.0,4.0,0.7,5350000.0,5350000.0,1.44,1.12,1.93,984,931,51.38,6.97,35,52,48.14,40.57,54.27,8.78,7,12,8.51,13.28,0.83,52.03,26.83,29.64,45.17,29.7,50.15,72.0,12,11,23,18,30.82,53,-17,40.23,7.57,5,228,14.25
8865,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2012,PHI,37,3,3,6,-11,35,3,0,0,0,3,0,0,49,81,270.53,7.42,12,16,67,14,4,3,90.9,50.0,50.0,0.2,-0.2,775000.0,775000.0,1.33,1.11,1.48,231,240,49.04,-1.18,8,19,10.1,10.48,49.08,-2.99,12,15,6.38,4,0.89,50,16.25,27.81,48.54,27.98,49.13,37.0,3,3,6,5,6.68,-9,-11,29.63,-0.38,3,78,17.3
8866,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2013,PHI,7,0,1,1,0,36,0,0,0,0,1,0,0,4,9,51.23,7.22,0,0,7,3,1,0,101.7,52.4,47.6,0.0,0.1,600000.0,600000.0,1.17,1.17,-1,38,63,37.62,-16.18,1,1,1.75,2.73,39.06,-15.26,7,2,,0.43,0.5,52.38,15.99,27.77,45.75,27.86,49.21,7.0,,1,1,1,-0.85,-25,,50,-0.98,-5,9,10.54
8867,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2014,PIT,13,2,0,2,0,12,2,0,0,0,0,0,0,12,19,130.97,10.08,2,0,14,5,3,4,101.1,38.8,61.2,0.1,0.2,550000.0,550000.0,0.92,0.92,0.79,75,100,42.86,-8.34,2,2,3.45,3.53,49.43,-3.63,5,7,16.67,1.55,0.71,37.88,21.08,27.8,48.02,28.28,48.01,13.0,2,,2,2,1.72,-25,,50,-0.08,2,19,8.7
8868,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2015,NYI,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,3,20.77,11.08,0,2,6,1,1,0,90.0,25.0,75.0,-0.1,0.0,650000.0,650000.0,,,0.35,18,18,50,-14.79,,1,0.58,1.52,27.62,-34.15,,1,,0.1,0.29,25,19.99,29.23,52.37,28.08,41.85,2.0,,,,,0.12,,-1,,-0.94,1,2,5.78
8869,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2016,ANA,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,8.77,8.48,0,0,3,0,0,0,66.7,80.0,20.0,0.0,0.0,600000.0,600000.0,,,0.14,10,8,55.56,-10.23,,1,0.25,0.22,53.19,-23.8,,,,0.14,0.96,80,16.34,28.43,51.38,28.22,50.65,1.0,,,,,0.02,2,-1,,0.03,,1,6.84
8870,zolniha01,Harry,Zolnierczyk,LW,L,2001,6.176,180,180,1987-09-01,31.06265212,CA,Other,2017,NSH,24,2,2,4,-2,10,2,0,0,0,2,0,0,19,32,210.22,8.52,8,11,25,11,7,1,100.6,42.9,57.1,0.1,0.1,575000.0,575000.0,1.14,1.14,-0.11,146,243,37.53,-14.88,5,7,4.73,8.23,36.5,-16.43,6,6,10.53,1.55,0.44,43.27,18.73,26.39,48.4,27.5,49.16,24.0,2,2,4,4,-0.38,-97,-2,41.67,-3.5,,32,9.13
8871,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2012,MIN,6,0,2,2,-2,2,0,0,0,0,2,0,0,10,16,64.37,11.02,0,0,5,2,2,2,98.0,51.7,48.3,0.0,0.0,771667.0,771667.0,1.86,1.86,0.37,41,73,35.96,-9.63,2,4,1.74,3.05,36.33,-18.54,1,2,,0.42,0.39,51.72,21.54,28.08,44.11,28.43,50.62,6.0,,2,2,2,0.4,-32,-2,33.33,-1.31,1,14,13.05
8872,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2013,MIN,20,4,1,5,4,8,4,0,0,0,1,0,0,34,58,213.03,11.16,0,1,11,5,4,7,104.0,41.6,58.4,0.4,0.5,771667.0,771667.0,1.41,1.13,1.42,180,210,46.15,-4.38,10,6,8.25,6.99,54.13,4.49,3,1,12.5,3.36,0.95,40.98,22.43,29.03,48.37,28.53,48.48,20.0,4,1,5,4,5.04,-30,4,62.5,1.26,-2,56,15.77
8873,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2014,MIN,21,4,1,5,2,2,3,1,0,1,0,1,0,40,68,252.5,12.59,0,0,16,11,9,9,102.8,57.3,42.7,0.2,0.4,771667.0,771667.0,0.71,0.71,0.69,197,259,43.2,-3.97,8,7,7.62,8.04,48.66,1.65,1,3,7.69,3.35,0.8,57.72,24.07,30.02,49.19,28.42,49.39,21.0,3,,3,3,2.92,-62,1,53.33,-0.42,2,66,15.68
8874,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2015,MIN,51,21,5,26,-9,18,19,1,1,3,5,0,0,124,193,650.83,15.04,2,4,67,13,21,19,96.1,53.8,46.2,3.2,0.5,900250.0,900250.0,2.03,2.03,2.72,619,524,54.16,2.95,28,39,25.23,21.08,54.48,-2.25,8,15,15.18,11.65,1.07,54.76,26.32,30.91,49.81,28.92,50.29,51.0,17,5,22,22,29.54,95,-11,41.79,4.15,7,178,16.41
8875,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2016,MIN,71,13,10,23,-5,20,12,0,1,1,7,2,1,158,280,973.23,15.35,1,1,83,33,40,27,99.2,50.9,49.1,1.0,1.1,900250.0,900250.0,1.17,1.05,1.51,822,861,48.84,1.66,32,38,35.56,32.11,52.55,3.38,10,19,8.39,15.49,0.95,50.42,27.89,31.58,47.81,29.28,50.16,71.0,12,7,19,17,24.57,-39,-6,45.71,3.45,9,244,15.04
8876,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2017,MIN,79,22,25,47,34,30,21,1,0,3,25,0,0,172,292,1123.62,15.17,1,4,73,42,44,23,105.1,41.7,58.3,4.3,2.5,2000000.0,2000000.0,2.3,1.82,2.73,1021,1026,49.88,0.82,66,34,45.95,33.2,58.05,4.94,15,29,11.8,14.93,0.8,41.67,28.27,30.79,49.15,29.48,50.09,79.0,19,24,43,34,51.1,-5,32,66,12.75,14,280,14.95
8877,zuckeja01,Jason,Zucker,LW,L,2010,2.059,180,187,1992-01-16,26.68747682,US,Other,2018,MIN,82,33,31,64,8,44,25,7,1,7,21,9,1,222,338,1138.82,16.58,4,14,80,47,54,37,100.2,44.1,55.9,6.0,1.7,2000000.0,2000000.0,2.16,1.79,2.41,1091,1107,49.64,3.46,57,47,50.7,36.65,58.04,7.02,16,15,11.36,16.31,0.86,43.2,28.11,31.44,47.0,29.71,50.3,82.0,20,21,41,34,45.65,-16,10,54.81,14.05,-1,265,13.96
8878,akesoja01,Jason,Akeson,RW,R,1996,9.222999999999999,178,190,1990-06-03,28.30832021,CA,Other,2013,PHI,1,1,0,1,2,0,1,0,0,0,0,0,0,2,3,12.38,12.23,0,0,0,0,2,0,125.0,50.0,50.0,0.2,0.1,715000.0,715000.0,4.85,4.85,5.57,13,14,48.15,8.42,2,,0.92,0.71,56.44,11.47,,,50,0.28,1.36,50,25.52,30.97,48.39,31.86,53.38,1.0,1,,1,1,1.15,-1,2,100,0.21,,3,14.54
8879,akesoja01,Jason,Akeson,RW,R,1996,9.222999999999999,178,190,1990-06-03,28.30832021,CA,Other,2014,PHI,1,0,1,1,1,0,0,0,0,0,1,0,0,2,4,12.27,13.22,0,0,1,0,0,0,111.9,33.3,66.7,0.1,0.1,715000.0,715000.0,4.89,4.89,6.6,17,11,60.71,9.52,2,1,0.98,0.22,81.67,25.97,,,,0.11,0.54,33.33,22.62,30.51,49.26,29.56,51.42,1.0,,1,1,1,1.35,6,1,66.67,0.76,,3,14.67
8880,akesoja01,Jason,Akeson,RW,R,1996,9.222999999999999,178,190,1990-06-03,28.30832021,CA,Other,2015,PHI,13,0,0,0,-1,8,0,0,0,0,0,0,0,9,20,101.17,8.03,1,1,11,4,1,3,99.4,50.0,50.0,-0.3,0.1,575000.0,575000.0,,,-0.88,70,114,38.04,-9.96,1,2,1.79,5.02,26.28,-22.07,3,3,,0.47,0.28,50,16.21,26.95,47.7,27.9,49.13,13.0,,,,,-1.48,-44,-1,33.33,-3.23,,20,11.86
8881,anderma01,Matt,Anderson,RW,R,2007,1.005,180,195,1982-10-31,35.89779872,US,Other,2013,NJD,2,0,1,1,1,0,0,0,0,0,1,0,0,0,2,11.47,5.47,0,0,0,1,0,0,112.5,100.0,0.0,0.1,0.1,,,5.23,5.23,4.97,12,11,52.17,3.79,1,,1.11,0.46,70.7,19.46,,,,0.09,0.47,100,11.91,27.53,53.56,27.89,52.76,2.0,,1,1,1,0.95,1,1,100,0.65,,2,10.46
8882,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2013,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,18.15,3,7,0,2,0,1,100.0,57.1,42.9,-0.1,0.0,627500.0,627500.0,,,-1.16,9,16,36.0,-11.76,,,0.66,0.32,67.35,21.22,,,,,,57.14,29.87,31.83,47.0,29.36,48.97,1.0,,,,,-0.29,-7,,,0.34,,,
8883,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2014,EDM,41,4,14,18,-7,8,3,1,0,1,12,2,0,70,127,497.78,15.04,206,198,78,23,18,13,99.0,47.0,53.0,0.7,0.5,600000.0,600000.0,1.69,1.21,1.63,457,482,48.67,4.35,17,20,19.24,20.23,48.75,2.77,3,9,5.08,4.22,0.51,47.02,25.41,29.68,44.1,28.86,49.86,41.0,3,11,14,10,13.56,-25,-3,45.95,-0.99,6,114,13.74
8884,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2015,TOT,77,17,14,31,-10,20,16,1,0,2,10,3,1,129,243,1002.97,14.48,471,468,111,27,39,43,98.3,60.2,39.8,2.2,1.0,600000.0,600000.0,1.44,1.14,1.8,952,883,51.88,2.56,33,41,35.33,38.32,47.97,0.7,5,10,13.64,8.31,0.5,60.09,26.27,29.76,49.09,28.73,49.54,77.0,15,9,24,19,30.01,69,-8,44.59,-2.99,5,205,12.26
8885,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2015,EDM,36,7,5,12,-7,12,7,0,0,0,3,1,1,54,107,1002.97,15.23,252,274,54,13,22,21,97.1,61.0,39.0,0.6,0.4,600000.0,600000.0,1.44,1.14,1.8,952,883,51.88,2.56,33,41,35.33,38.32,47.97,0.7,5,10,13.64,8.31,0.5,60.09,26.27,29.76,49.09,28.73,49.54,77.0,15,9,24,19,30.01,69,-8,44.59,-2.99,5,205,12.26
8886,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2015,NSH,4,1,0,1,0,0,1,0,0,0,0,0,0,3,8,1002.97,10.35,2,1,3,0,3,2,107.1,52.4,47.6,0.1,0.0,600000.0,600000.0,1.44,1.14,1.8,952,883,51.88,2.56,33,41,35.33,38.32,47.97,0.7,5,10,13.64,8.31,0.5,60.09,26.27,29.76,49.09,28.73,49.54,77.0,15,9,24,19,30.01,69,-8,44.59,-2.99,5,205,12.26
8887,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2015,PIT,10,0,2,2,1,2,0,0,0,0,2,0,0,13,25,1002.97,12.05,2,5,20,1,2,5,99.7,56.9,43.1,-0.1,0.2,600000.0,600000.0,1.44,1.14,1.8,952,883,51.88,2.56,33,41,35.33,38.32,47.97,0.7,5,10,13.64,8.31,0.5,60.09,26.27,29.76,49.09,28.73,49.54,77.0,15,9,24,19,30.01,69,-8,44.59,-2.99,5,205,12.26
8888,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2015,ARI,27,9,7,16,-4,6,8,1,0,2,5,2,0,59,103,1002.97,15.41,215,188,34,13,12,15,99.1,60.5,39.5,1.6,0.4,600000.0,600000.0,1.44,1.14,1.8,952,883,51.88,2.56,33,41,35.33,38.32,47.97,0.7,5,10,13.64,8.31,0.5,60.09,26.27,29.76,49.09,28.73,49.54,77.0,15,9,24,19,30.01,69,-8,44.59,-2.99,5,205,12.26
8889,arcobma01,Mark,Arcobello,RW,R,1998,1.01,173,172,1988-08-12,30.11533953,US,Other,2016,TOR,20,3,1,4,0,0,3,0,0,0,1,0,0,43,70,203.25,12.41,132,110,22,3,9,4,99.6,67.3,32.7,0.1,0.3,1100000.0,1100000.0,0.89,0.89,2.36,228,167,57.72,5.15,10,9,8.53,8.34,50.56,0.62,,1,10.34,2.15,0.63,66.47,21.87,28.52,51.4,27.9,49.69,20.0,3,,3,3,8,61,1,52.63,0.19,1,43,12.69
8890,banckca01,Carter,Bancks,C,L,2002,1.011,180,181,1989-08-09,29.12421786,CA,Other,2013,CGY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,14.41,0,0,6,3,1,0,100.0,47.4,52.6,-0.1,0.0,,,,,-1.94,10,30,25.0,-11.77,,,0.29,0.83,25.89,-10.98,,,,,,47.37,25.04,27.34,46.46,26.36,51.32,2.0,,,,,-0.85,-20,,,-0.54,,,
8891,bangda01,Daniel,Bang,W�,L,2002,1.011,190,208,1987-04-19,31.432273499999997,SE,Other,2013,NSH,8,0,2,2,-2,0,0,0,0,0,2,0,0,13,24,98.52,12.54,0,0,12,0,3,0,97.3,65.6,34.4,-0.1,0.0,,,1.22,0.61,1.11,73,78,48.34,2.5,3,5,2.76,3.01,47.83,-3.62,,1,,0.99,0.6,65.57,24.08,29.12,46.09,28.34,50.55,8.0,,2,2,1,1.82,-5,-2,37.5,-0.25,1,24,14.62
8892,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2013,TBL,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,6,24.15,15.3,0,0,0,1,0,5,88.9,46.7,53.3,0.0,-0.1,580000.0,580000.0,,,-0.75,22,24,47.83,11.86,,2,0.49,0.76,39.2,-3.25,,,,0.01,0.02,46.67,26.87,27.56,48.21,28.15,49.28,2.0,,,,,-0.3,-2,-2,,-0.27,,3,7.45
8893,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2014,TBL,49,5,5,10,10,28,4,1,0,0,5,0,0,54,121,675.73,14.35,0,0,28,38,10,27,101.8,52.7,47.3,0.8,2.2,605000.0,605000.0,0.8,0.36,1.33,654,589,52.61,2.24,31,22,26.04,22.81,53.31,4.02,11,,7.84,2.54,0.23,53.16,27.93,27.71,50.4,28.73,49.38,49.0,4,5,9,4,14.93,65,9,58.49,3.23,-11,117,10.39
8894,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2015,TBL,52,1,6,7,-4,16,1,0,0,0,6,0,0,53,122,824.03,16.47,0,0,35,46,13,20,98.2,54.4,45.6,-0.2,1.1,874125.0,874125.0,0.36,0.22,0.89,770,690,52.74,0.74,26,31,31.06,24.56,55.84,3.47,4,4,1.96,2.28,0.17,55.06,32.1,27.36,51.94,28.34,49.42,52.0,1,4,5,3,12.18,80,-5,45.61,6.5,,115,8.37
8895,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2016,MTL,30,2,8,10,0,6,2,0,0,0,8,0,0,32,88,412.55,15.0,0,0,12,18,11,19,98.8,51.6,48.4,0.8,1.0,600000.0,600000.0,1.45,0.58,1.84,402,347,53.67,3.57,20,16,17.95,13.08,57.85,9.7,3,2,6.45,1.44,0.21,50.98,27.98,26.77,50.22,28.36,49.78,30.0,2,8,10,4,12.68,55,4,55.56,4.87,-1,78,11.34
8896,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2017,TOT,60,2,11,13,-5,14,1,1,0,0,8,3,0,80,198,947.35,18.16,0,0,20,55,16,33,99.1,54.4,45.6,0.3,2.3,750000.0,750000.0,0.57,0.38,0.98,885,821,51.88,0.6,31,34,35.39,37.84,48.33,-1.55,6,3,1.49,3.61,0.23,53.82,32.12,27.35,49.73,28.83,49.52,60.0,1,8,9,6,15.43,64,-3,47.69,-2.45,-3,164,10.39
8897,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2017,MTL,26,0,4,4,1,10,0,0,0,0,3,1,0,28,61,947.35,15.07,0,0,10,23,5,15,100.0,57.1,42.9,-0.1,1.0,750000.0,750000.0,0.57,0.38,0.98,885,821,51.88,0.6,31,34,35.39,37.84,48.33,-1.55,6,3,1.49,3.61,0.23,53.82,32.12,27.35,49.73,28.83,49.52,60.0,1,8,9,6,15.43,64,-3,47.69,-2.45,-3,164,10.39
8898,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2017,COL,34,2,7,9,-6,4,1,1,0,0,5,2,0,52,137,947.35,20.4,0,0,10,32,11,18,98.8,53.2,46.8,0.3,1.3,750000.0,750000.0,0.57,0.38,0.98,885,821,51.88,0.6,31,34,35.39,37.84,48.33,-1.55,6,3,1.49,3.61,0.23,53.82,32.12,27.35,49.73,28.83,49.52,60.0,1,8,9,6,15.43,64,-3,47.69,-2.45,-3,164,10.39
8899,barbema01,Mark,Barberio,D,L,2008,6.152,185,207,1990-03-23,28.50545107,CA,Other,2018,COL,46,3,10,13,6,31,2,0,1,1,8,1,1,52,124,676.65,17.17,0,0,26,62,8,16,101.4,37.2,62.8,0.7,2.1,750000.0,750000.0,0.62,0.44,0.77,636,634,50.08,2.11,23,21,21.93,22.93,48.89,2.52,13,2,4,2.19,0.19,38.19,31.43,27.92,46.67,28.72,49.81,46.0,2,5,7,5,8.7,2,2,52.27,-1,-11,121,10.73
8900,bartlvi01,Victor,Bartley,D,L,2008,7.19,183,217,1988-02-17,30.59995024,CA,Other,2013,NSH,24,0,7,7,2,6,0,0,0,0,7,0,0,19,52,420.37,19.33,0,0,35,28,11,15,102.2,43.5,56.5,0.2,1.2,537500.0,537500.0,0.86,0.57,0.61,324,374,46.42,-1.69,15,13,14.75,14.43,50.55,-3.68,3,1,,1.28,0.18,43.75,34.25,27.26,46.74,28.87,49.41,24.0,,6,6,4,4.3,-50,2,53.57,0.32,-2,45,6.42
8901,bartlvi01,Victor,Bartley,D,L,2008,7.19,183,217,1988-02-17,30.59995024,CA,Other,2014,NSH,50,1,5,6,0,23,1,0,0,0,5,0,0,21,50,687.3,15.22,0,0,81,79,14,7,101.1,46.3,53.7,-0.2,1.7,666667.0,666667.0,0.52,0.35,0.15,525,646,44.83,-3.86,26,24,22.23,21.61,50.71,-2.4,10,5,4.76,0.82,0.07,46.28,27.68,26.23,49.32,28.14,49.34,50.0,1,5,6,4,1.77,-121,2,52,0.62,-5,49,4.28
8902,bartlvi01,Victor,Bartley,D,L,2008,7.19,183,217,1988-02-17,30.59995024,CA,Other,2015,NSH,37,0,10,10,1,26,0,0,0,0,10,0,0,28,65,473.32,13.26,0,0,77,53,2,9,100.5,58.5,41.5,0.5,1.1,666667.0,666667.0,1.14,0.76,1.13,426,448,48.74,-4.5,20,17,17.46,17.05,50.59,-2.81,8,2,,1.08,0.14,58.46,25.93,27.16,52.75,28.1,49.73,37.0,,9,9,6,8.93,-22,3,54.05,0.41,-6,63,7.99
8903,bartlvi01,Victor,Bartley,D,L,2008,7.19,183,217,1988-02-17,30.59995024,CA,Other,2016,TOT,10,0,0,0,2,6,0,0,0,0,0,0,0,8,16,130.92,13.19,0,0,21,17,0,7,104.5,45.9,54.1,-0.2,0.5,666667.0,666667.0,,,0.05,119,143,45.42,-4.99,6,4,4.99,5.49,47.61,-1.76,3,,,0.45,0.21,45.88,26.32,25.22,50.55,28.21,49.33,10.0,,,,,0.1,-24,2,60,-0.5,-3,16,7.33
